ID;TÍTULO;ISBN
001;Sin City Integral Vol. 1;978-84-679-0331-7
002;Sin City Integral Vol. 2;978-84-679-0468-0
003;Frank Cappa Integral;978-84-9947-011-5
004;Alex Magnum;978-84-8357-718-9
005;Onírica;978-84-9947-093-1
006;Maus;978-84-397-2071-3
007;Persépolis;978-84-9847-066-6
008;Shenzhen;978-84-935088-0-7
009;Pyongyang;978-84-96815-05-6
010;Ranx;978-84-7833-893-1
011;Buscavidas;84-674-0487-6
012;El Mundo de Edena. Edición Integral;978-84-679-1673-7
013;El Incal Integral;978-84-16709-29-8
014;The Long Tomorrow;978-84-679-1034-6
015;El hombre del Ciguri;978-84-679-1035-3
016;La ciudadela ciega;978-84-679-1036-0
017;Escala en Pharagonescia;978-84-679-1037-7
018;Las vacaciones del Mayor;978-84-679-1038-4
019;El garaje hermético;978-84-679-1040-7
020;Arzach;978-84-679-1048-3
021;El empalmado loco;978-84-679-1049-0
022;Caos / Crónicas metálicas;978-84-679-1246-3
023;Estela Plateada. Parábola;978-84-9885-762-7
024;Moriré a medianoche;84-96325-52-0
025;Un pequeño asesinato;84-395-9805-X
026;From Hell;84-395-9158-6
027;V de Vendetta;978-84-16796-80-9
028;Watchmen Absolute;978-84-674-3397-5
029;Informe sobre ciegos;978-84-15-16320-6
030;Sueños pesados;84-95634-29-5
031;¿Drácula, Dracul, Vlad? ¡Bah...!;84-95834-96-3
032;Perramus;978-88-99086-91-6
033;Versiones;978-84-18909-26-9
034;Viajero de gris;978-84-19518-31-6
035;Un tal Daneri;978-84-18293-80-1
036;Había otra vez…El lado oscuro de los cuentos infantiles;978-84-18225-58-1
037;Nadie;978-84-18974-83-0
038;El corazón delator y otros relatos extraordinarios de E.A. Poe;978-84-17575-95-3
039;Los mitos de Cthulhu;978-84-96722-91-0
040;Mort Cinder;84-395-9550-6
041;El hombre que ríe;84-86450-92-6
042;Nacido salvaje;978-84-18974-84-7
043;ADN;978-84-19163-27-1
044;S.O.U.L.;978-84-19263-03-2
045;El hombre que ríe;978-84-19325-26-6
046;Marketing & Utopía Made In USA;978-84-19325-99-0
047;Museum;978-84-19428-72-1
048;Black Deker. Deep South Story;978-84-19586-53-7
049;Black Deker. Yellow Moon;978-84-19678-02-7
050;Antología;978-84-9847-791-7
051;Pesadillas;978-84-8431-901-6
052;Venga, saca las joyas;84-933992-3-X
053;El perro enamorado de las estrellas;978-1-908007-43-8
054;The Ghost In The Shell;978-84-16543-79-3
055;The Ghost In The Shell 2.  Man-Machine Interface;978-84-9146-774-8
056;The Ghost In The Shell 1.5. Human Error Processer;978-84-9173-675-2
057;Akira 1. Edición original;978-84-679-3256-0
058;Akira 2. Edición original;978-84-679-3990-3
059;Akira 3. Edición original;978-84-679-3991-0
060;Akira 4. Edición original;978-84-679-3992-7
061;Akira 5. Edición original;978-84-679-3993-4
062;Akira 6. Edición original;978-84-679-3994-1
063;Sin la sombra de las torres;978-84-161-9503-9
064;Taxista. Obra completa;84-8449-557-4
065;Tormenta sobre China;978-84-9947-352-9
066;Que caiga el que deba;978-84-942684-2-7
067;Dayak;978-84-9947-275-1
068;Kickback 1. El acuerdo;84-674-2155-X
